"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","AL-AMLUG","#77aacc","Arch Linux","2003.7.4","2006.5.17",,"https://distroware.gitlab.io/os/Linux/a/archie","Archie","2005.3.25","https://distroware.gitlab.io/os/Linux/a/archie",,,,,,
"#N","Chaox","#000","Arch Linux","2008.12","2010.2.18",,"http://blag.chaox.net/",,,,,,,,,
"N","LinHES","#92bac4","Arch Linux","2009.1.28",,,"https://distroware.gitlab.io/os/Linux/l/linhes",,,,,,,,,
"#N","FireFly","#000","Arch Linux","2009.6.2","2010",,"http://distrowatch.com/table.php?distribution=firefly",,,,,,,,,
"N","KahelOS","#e74a47","Arch Linux","2009.7","2015.04.10",,"https://distroware.gitlab.io/os/Linux/k/kahelos",,,,,,,,,
"N","CTKarchLive","#000","Arch Linux","2009.7.5","2014.04.07",,"https://distroware.gitlab.io/os/Linux/c/ctkarch","CTKArch","2011.4.7","https://distroware.gitlab.io/os/Linux/c/ctkarch",,,,,,
"N","Arch Linux ARM","#0771a6","Arch Linux","2009.8.9",,,"https://distroware.gitlab.io/os/Linux/a/arch-linux-arm",,,,,,,,,
"N","ArchBang","#0077bb","Arch Linux","2010.1.26",,,"https://distroware.gitlab.io/os/Linux/a/archbang",,,,,,,,,
"N","Parabola","#787dab","Arch Linux","2010.11",,,"https://distroware.gitlab.io/os/Linux/p/parabola",,,,,,,,,
"#N","LDR","#000","Arch Linux","2011.4.13","2011.06.11",,"http://web.archive.org/web/20110717211908/http://www.tommed.co.uk/ldr/",,,,,,,,,
"N","Manjaro","#3fbb3f","Arch Linux","2011.7.9",,,"https://distroware.gitlab.io/os/Linux/m/manjaro",,,,,,,,,
